question,answer
"pagi kak, izin menanyakan terkait sertifikat diklat sdsd saaya kak, atas nama Azizi Rahman, apakah sudah jadi?","Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
Ini saya ambil diklat SAT bapak untuk pembayaran kenapa tidak bisa mohon informasinya?  ,"Kendala tersebut memang terkadang terjadi karena error pada kode pembayaran.

Silakan dicoba kembali secara berkala ya kak. Apabila masih belum bisa, mohon diinformasikan kembali ke admin diklat di nomor berikut +62 811-1707-1205 agar dapat dibantu tindak lanjuti. Terima kasih"
Saya tahun 2023 pernah pelatihan BST yg di daftarkan oleh perusahaan saya bekerja di Bangkabelitung. Tapi sampai saat ini habis kontrak sama perusahaan kerja tersebut sertifikat BST saya tidak di berikan atau di tahan.  Bisakah saya melihat berkas atau softcopy dari sertifikat tersebut.🙏🏼,"Mohon maaf ya kak 🙏
Terkait sertifikat BST tahun 2023, dengan berat hati kami sampaikan bahwa apabila masa terbitnya sudah lebih dari 2 tahun, maka hal tersebut berada di luar tanggung jawab kami."
 bapak/ibu mohon izin saya yusuf mahasiswa aman jaya sertifikat saya salah tahun lahir apa kah bisa di ubah dan saya urus sendiri?🙏🏼🙏🏼,"Terkait perubahan tahun lahir di sertifikat, silakan menghubungi admin diklat di nomor berikut ya kak:

+62 811-1707-1205

Nanti akan dibantu proses perubahan datanya. Terima kasih 🙏"
malam ka mau tanya pricelist sewa gedung,"Terkait informasi pricelist sewa gedung di BP2TL, dapat menghubungi WhatsApp berikut untuk informasi lebih detail ya kak:

WhatsApp:
+62 0811-1707-0806"
Apakah bisa rubah email akun pedaftaran bp2tl. m.yusril711@gmail.com,"Terkait perubahan email akun pendaftaran di BP2TL, silakan menghubungi admin diklat di nomor berikut ya kak:

+62 811-1707-1205

Nanti akan dibantu proses perubahan datanya. Terima kasih 🙏"
"Mau tanya ka, untuk praktek Basic Seftey Traning (BST) nya itu baju werpak nya dari kantor  BP2TL nya atau kita beli ka ?","Terkait penggunaan wearpack untuk praktik Basic Safety Training (BST), di kampus kami menyediakan layanan penyewaan wearpack dengan biaya sewa sebesar Rp25.000,-.
Jadi, peserta tidak perlu membeli sendiri karena sudah disediakan oleh pihak BP2TL Jakarta."
"Saya ridho, sudah daftar diklat updating ant 3 management dan dijadwalkan tanggal 16-20 februari, tetapi sampai sekarang saya belum ada info untuk pembelajaran onlinenya dan juga belum dimasukan ke grup belajarnya by WhatsApp.

Mohon dibantu penjelasannya apakah ini ada pembelajaran online dan ujiannya atau tidak?

Terimakasih","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"
Mohon ijin Untuk Diklat TOT 6.10 ada bulan berapa?
Untuk biaya dan persyaratannya apa saja
Terima kasih
🙏🙏🙏","Penyelenggara: BP2TL Jakarta

Biaya Diklat TOT 6.10: Rp8.000.000,- (swadana)

Persyaratan Pendaftaran (Scan Asli)
1. Ijazah terakhir (Laut)
2. KTP / identitas lain yang masih berlaku
3. Pas foto terbaru ukuran 3x4
4. Background: Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram, Format: jpg/jpeg/png
5. Sertifikat TOE IMO Model Course 3.12
6. Sertifikat TOT IMO Model Course 6.09
7. Surat Pernyataan Diklat Fungsional

Silakan melengkapi seluruh berkas dalam bentuk scan asli sebelum melakukan pendaftaran. Terima kasih 🙏"
"Terkait pendaftaran Diklat TOT 6.09, Apakah ini wajib mengisi data diri semua? Misalkan honorer belum punya NIP bagaimana?","Terkait pendaftaran Diklat TOT 6.09, untuk pengisian data diri tetap diisi sesuai kondisi masing-masing ya kak.
Apabila status masih honorer dan belum memiliki NIP, kolom tersebut dapat dikosongkan atau diisi sesuai arahan dari PIC Diklat Fungsional.

Untuk memastikan pengisian data yang tepat, kakak dapat langsung menghubungi PIC Gardik Fungsional di nomor berikut:
📞 +62 821-7116-8057 (a/n Helen)

Karena diklat yang kakak pilih termasuk dalam Diklat Fungsional, maka konfirmasi teknis pengisian data akan lebih detail dijelaskan oleh PIC terkait ya kak"
"Pagi kak 
Mau meenanyakan biayaya 
Managemen Ant III ka","
📘 Diklat Pemutakhiran (Management):
* ANT III Manajemen : Rp 1.390.000






"
Assalamualaikum  Bapak/Ibu mohon maaf ganggu waktunya sebentar saya La Yadin alumni pasis ANT 5 angkatan 23 mau bertanya sertifikat ijazah ANT 5  saya dan endorsenya hilang di curi orang Bu persyaratan untuk mengurusnya kembali bagimana🙏,"Pegajuan sertifikat baru atas sertifikat yang hilang dapat dilakukan secara langsung di loket BP2TL dengan membawa persyaratannya sebagai berikut:

1. KTP
2. Akta Kelahiran
3. Surat Kehilangan dari Kepolisian
4. Kartu Keluarga (KK)
5. Pas Foto terbaru
6. Scan sertifikat yang hilang
7. Surat keterangan bahwa Bapak akan melakukan cetak ulang sertifikat
8. Surat Pernyataan Peserta (diunduh melalui akun masing-masing)
"
"Maaf tanya kak, saya kan baru off di November... Kira kira ada untuk periode akhir tahun ga ya? Apakah biaya akan berubah kak? Biaya di atas itu sudah termasuk wisuda, UKP, UAD ya ka? Dan pembelajaran nya online atau offline?","Terkait Pendaftaran dan Pelaksanaan DP ATT V untuk jadwal terbaru selalu pantau website resmi BP2TL ya kak, karena saat ini belum ada informasi terbaru terkait pelaksanaan DP ATT V untuk akhir tahun😊

Mengenai biaya Diklat Peningkatan yg tertera include dengan fasilitas 
1. Mess penginapan
2. Makan 
3. Baju seragam dan baju wisuda 
4. UAD/UKP
5. Pembelajaran online 
6. LMS Pembelajaran / E-Learning 
7. Sertifikat langsung diserahkan usai Wisuda

Untuk biaya tambahan hanya Pedang pora (sifatnya tidak wajib), Konsumsi Wisuda (include keluarga), Cek kesehatan (sebelum pelaksanaan Ujian)"
Cara daftar untuk updating BST kk gimna langkah nya?,"Berikut langkah pendaftaran Updating BST:

1. Jika sudah login pada akun, silakan ikuti langkah berikut:
2. Klik tombol garis tiga yang tertera di sebelah kanan atas layar.
3. Pilih menu Diklat, lalu masuk ke menu Pendaftaran.
4. Pada kolom pertama pilih Diklat Pelaut, kemudian pada pilihan diklat silakan pilih Updating BST.
5. Saat pengisian data dokumen, kolom tanggal terbit dan expired dapat diisi dengan tanggal saat melakukan unggah dokumen.
6. Pilih file yang akan diunggah, lalu klik tombol UNGGAH pada masing-masing persyaratan.
7.Lakukan proses unggah hingga semua dokumen tersubmit dengan lengkap.

Setelah semua tahap selesai, mohon menunggu proses verifikasi dari admin ya kak.
Informasi selanjutnya akan diinformasikan melalui akun atau grup apabila sudah dijadwalkan 😊⚓️"
Ijin bertanya bapak/ibu untuk pengambilan diklat AFF apa masih bisa online apa tidak bapak,"Untuk Diklat AFF saat ini dilaksanakan dengan metode blended learning, ya kak.
Artinya, pembelajaran teori dilakukan secara online, kemudian dilanjutkan dengan 1 hari praktik secara offline di kampus.

Terima kasih kak 🙏⚓️"
"Mohon info tentang manajemen ant 4, Tanggal 05 january 2026 s/d 09 january 2026, Blm ada kejelasan, Saya sdh masuk grup, Tapi belum2 ukp","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" pakk 
Pengambilan sertifikat  radar dan SSO apakah pembelajaran semuanya online","Betul ya kak, untuk diklat Radar dan SSO pembelajarannya dilaksanakan secara online."
"Saya sudah upload dokumen untuk updating ant 3, kenapa belum divalidasi ya?","Terima kasih sudah mengunggah berkas untuk proses validasi pendaftaran Updating ANT III 🙏

Silakan dicek kembali status pendaftaran diklat Updating ANT III di laman resmi BP2TL apakah sedang dibuka atau ditutup (closed), ya kak.

• Jika pendaftaran sedang ditutup, maka berkas yang sudah diunggah belum dapat kami tindak lanjuti terlebih dahulu.
• Kakak yang sudah mengunggah berkas tidak perlu upload ulang 😊 Nanti saat jadwal dibuka kembali dan berkas dinyatakan lengkap, kakak cukup memilih jadwal yang tersedia.

Namun, apabila pendaftaran masih dibuka tetapi berkas belum tervalidasi, silakan konfirmasi langsung ke admin diklat di nomor berikut:
📞 +62 811-1707-1205

Terima kasih 🙏
"
"Siap Mohon izin kk Izin bertanya untuk surat pernyataan peserta Diklat harus di print trus di isi trus di scant trus di unggah di laman diklat, tapi untuk Periode nya saya isi Periode berapa kk?","Untuk pengisian periode pada surat pernyataan peserta diklat, kami tidak memiliki informasi detail terkait periode yang harus dicantumkan. Hal tersebut menyesuaikan dengan jadwal periode diklat yang kakak pilih/daftarkan di sistem BP2TL.

Agar tidak terjadi kesalahan pengisian, silakan konfirmasi langsung ke admin diklat melalui nomor berikut ya kak:
📞 +62 811-1707-1205"
"Mau nanya pak/buk itu Diklat ABLE ENGINE 18 feb/10 juni 2026
 Sya blm ada masuk grup, itu memang belum mulai atau bagai mana ya pak/buk?","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Mohon izin kak
Mau tanya untuk diklat GMDSS periode tgl 5-21 januari 2026 sudah jadi belum ya kak sertifikatnya?","Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
"min saya mau tanya,ant 4 saya terbit tanggal 24 maret 2025 namun endorsment nya terbit 14 april 2025,apakah saya bisa ikut updating periode akhir maret min?","Terkait perbedaan tanggal terbit sertifikat ANT IV dan endorsement, untuk kepastian apakah bisa mengikuti Updating pada periode akhir Maret, saya tidak memiliki kewenangan memastikan hal tersebut ya kak.

Agar mendapatkan informasi yang valid dan sesuai data dokumen kakak, silakan konfirmasi langsung ke admin diklat melalui nomor berikut:
📞 +62 811-1707-1205"
"Ka mau tanya, kalo syarat masa layar 30 bulan untuk att 4...itu masa layar setelah ada att 5 atau masa layar keseluruhan dri awal berlayar kak?","Terkait persyaratan masa layar 30 bulan untuk ATT IV, perhitungannya dimulai setelah kakak memiliki ijazah/sertifikat ATT V ya kak, bukan dihitung dari keseluruhan masa layar sejak awal berlayar."
"Siang Pak, 
Untuk Pengambilan Able baru apakah pembelajaranny ONLINE semua","Betul ya kak, untuk pembelajaran Able dilaksanakan secara online."
"Untuk Radar berarti tidak ada ujian atau praktek ke kampus kan pak/bu. Mohon arahannya
Izin bu untuk pendaftaran kita memilih apa
beda radar kerjasama dan radar rating","Untuk diklat Radar tetap ada praktek 1 hari di kampus ya kak.

Terkait pendaftaran, silakan memilih Radar (reguler) ya kak, tidak perlu memilih yang Radar kerjasama atau Radar pasis."
 min mau tanya apakah sertifikat saya atas nama Muhammad Yusuf Rianto untuk perbaikan sudah selesai🙏🏼🙏🏼,"Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
"Mau nanya bu, untuk able proses nya berapa lama ya ? Dan offline atau online ? Mohon rincian nya","Untuk Diklat Able, berikut informasinya:

⏳ Lama Proses Diklat
* Able Deck : 56 hari (±455 JP)
* Able Engine : 80 hari (±674 JP)

 💻 Metode Pembelajaran
Pembelajaran dilaksanakan secara online 

💰 Rincian Biaya
* Able Deck : Rp 5.300.000
* Able Engine : Rp 6.800.000

📋 Persyaratan Pendaftaran
1. Usia tidak kurang dari 18 tahun
2. Sertifikat Rating Dinas Jaga Deck – Juru Mudi (Deck) atau Dinas Jaga Mesin – Juru Minyak (Engine) sesuai STCW 2010
3. Masa layar minimal 12 bulan pada kapal ukuran ≥ GT 500 atau mesin penggerak ≥ 750 kW (Engine)
4. Sertifikat keterampilan: BST, AFF, SAT, SDSD, SCRB
5. Sertifikat kesehatan pelaut dari rumah sakit/lembaga kesehatan yang ditunjuk DJPL (termasuk keterangan tidak buta warna)
6. Akta Kelahiran / Surat Kenal Lahir
7. KTP atau identitas diri yang sah

Jika sudah memenuhi persyaratan, kakak bisa melakukan pendaftaran melalui laman diklat kampus ya 😊
"
Di bp2tl ada pengiriman sertifikat ngk kak,"Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
Pagii pak/bu..untuk pembelajaran bst reval ini gimana ya? Karena sampai hari ini saya blom di invite ke dalam grup pembelajaran,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
Untuk melengkapi berkas surat kesehatan pelaut ini apakah harus dari hasil mcu pelaut min atau bisa dengan surat keterangan sehat biasa min? 🙏🏻,"Untuk melengkapi berkas surat kesehatan pelaut:

1. Untuk diklat keterampilan (kecuali BST umum), kakak bisa menggunakan hasil MCU biasa.
2. Namun, MCU tersebut harus dikeluarkan oleh Rumah Sakit atau Lembaga Kesehatan yang terdaftar di BKKP ya kak.
3. Selain itu, wajib juga menyertakan keterangan buta warna 🙏😊"
", ijin tanya untuk renewal sertifikat keterampilan yang non BPPTL apakah bisa di buat? 🙏🏻","Untuk renewal sertifikat keterampilan yang terbitan non BP2TL, dapat kami informasikan:

Jika masa berlaku BST sudah lebih dari 5 tahun, maka dapat dilakukan proses revalidasi.

Namun apabila masa berlaku BST masih baru dan sertifikat tersebut bukan terbitan BP2TL, maka kakak perlu melakukan pendaftaran diklat baru ya."
"Saya ingin menanyakan perihal pembuatan sertifikat bst, untuk rincian biaya dan persyaratan nya apa saja ya bapak/ibu? 🙏","Terkait pembuatan sertifikat BST (Basic Safety Training), berikut kami sampaikan rincian biaya dan persyaratannya ya:

💰 Biaya Diklat BST:
Rp 1.350.000,-

📄 Persyaratan Pendaftaran BST:
1. Akte Lahir / Surat Kenal Lahir – Scan Asli
2. Ijazah minimal SLTP/sederajat – Scan Asli 
3. KTP / Identitas lain yang masih berlaku – Scan Asli
4. Kartu Keluarga (KK) – Scan Asli
5. Pas foto terbaru ukuran 3x4 (background sesuai jurusan: Biru=Nautika, Merah=Teknika/Diklat Fungsional, Hitam Putih=Diktram) format jpg/jpeg/png 
6. Sertifikat Kesehatan / MCU yang masih berlaku dari Rumah Sakit / Klinik atau tes kesehatan dari dokter BP2TL Jakarta – Scan Asli 
7. Surat Pernyataan Peserta Diklat 

Seluruh berkas diunggah melalui laman pendaftaran diklat ya kak. Terima kasih 🙏⚓"
" pak mau tanya 
saya udah daftar online MC dan di mulai diklat besok tanggal 14 tapi saya belum ada pemberitahuan untuk diklat online mohon infonya 🙏","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"izin bertnya kak, apakah polbit lulusan 2024 sudh di perbolehkan mengikuti kesyahbandaran kelas B, mengingat kmrin kami sempat mengikuti dasar2 kesyahbandaran 🙏","Untuk informasi ketentuan peserta dan persyaratan teknisnya termasuk dalam Diklat Teknis Fungsional ya kak.

Agar mendapatkan informasi yang lebih akurat dan sesuai ketentuan terbaru, silakan kakak menghubungi tim penyelenggara Diklat Fungsional kami di nomor berikut:
📞 +62 811-8813-198"
Bp2tl untuk jasa pengiriman sertifikat fisik hasil Diklat. Mohon informasi prosedur jika ada 🙏,"Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
" min, izin tanya kalo di web bp2tl cara liat sertfikat yang sudah di updating gimana yaa soalnya saya butuh buat di kapal blm sempet ambil fisiknya di bp2tl","Perihal pengecekan sertifikat hasil updating, saat ini di website BP2TL belum tersedia fitur untuk melihat atau mengunduh sertifikat yang sudah selesai ya kak.

Sebagai solusi, kakak dapat:
1️⃣ Menghubungi Admin Pendaftaran melalui WhatsApp di nomor: +62 811-1707-1205 untuk konfirmasi status sertifikat.
2️⃣ Apabila dibutuhkan untuk keperluan di kapal, kakak bisa menggunakan printout/hasil pengecekan online melalui website pelaut.dephub.go.id ya kak.

Semoga membantu 🙏😊
"
